Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch
AD Hales,1561,batsman,0.1793434383903134,2024-01-29,409
M Siddharth,1559,bowler,0.1007936507936508,2025-01-21,51
MJ Guptill,1559,batsman,0.16552414977739155,2024-04-05,342
Naveen-ul-Haq,1559,bowler,0.2879386326659984,2025-03-06,7
CR Woakes,1558,bowler,0.27858321836893263,2024-06-17,269
A Ashish Reddy,1558,all-rounder,0.12383855965463111,2023-09-08,552
Umran Malik,1558,bowler,0.2209073557156333,2025-01-08,64
Gurkeerat Singh,1558,batsman,0.08827878455378457,2024-05-30,287
Gagandeep Singh,1558,bowler,0.11249999999999999,2022-05-01,1047
SE Bond,1558,bowler,0.23461858974358976,2022-08-31,925
BB McCullum,1558,batsman,0.17934935936941135,2024-01-13,425
RE Levi,1558,batsman,0.08225308641975308,2022-12-25,809
K Rabada,1557,bowler,0.29603505688999104,2025-02-22,19
RE van der Merwe,1557,bowler,0.2773507919078366,2023-04-04,709
Salman Butt,1557,batsman,0.13100446880880012,2022-05-05,1043
Parvez Rasool,1557,bowler,0.11713939393939393,2023-09-16,544
Vishnu Vinod,1557,batsman,0.057857142857142864,2024-12-30,73
Mujeeb Ur Rahman,1556,bowler,0.2180863697705803,2024-06-15,271
Shoaib Akhtar,1556,bowler,0.3333333333333333,2022-04-26,1052
B Sumanth,1556,batsman,0.05842777777777777,2022-09-02,923
VS Malik,1555,bowler,0.1335552268244576,2023-06-06,646
SM Harwood,1555,bowler,0.2554761904761904,2022-06-14,1003
MG Bracewell,1554,all-rounder,0.15398666666666666,2024-12-27,76
GJ Bailey,1554,batsman,0.1114667938337395,2023-10-04,526
CJ Anderson,1554,all-rounder,0.1282669460630278,2024-01-02,436
S Gopal,1554,bowler,0.20975653534918234,2025-02-02,39
ST Jayasuriya,1553,all-rounder,0.16343721445221443,2022-08-20,936
KB Arun Karthik,1553,batsman,0.06005833333333334,2023-04-06,707
Akash Singh,1553,bowler,0.13987301587301587,2024-11-28,105
S Dhawan,1553,batsman,0.19633813165512348,2025-01-23,49
