,Player,ELO,Role,Form,LastPlayed,DaysSinceLastMatch,FormCategory,Status
340,Sameer Rizvi,1552,batsman,0.0513392857142857,2025-03-02,11,Low,Active

341,DJ Mitchell,1552,batsman,0.1498516599190283,2025-03-07,6,Medium,Active

342,Vijaykumar Vyshak,1552,bowler,0.2811602387511478,2025-02-21,20,High,Active

344,MS Dhoni,1550,batsman,0.178351738983808,2025-03-07,6,Medium,Active

345,M Jansen,1549,bowler,0.2239515577134515,2025-02-24,17,High,Active

346,JC Archer,1549,bowler,0.2692517745680245,2024-12-06,97,High,Active

356,P Simran Singh,1544,batsman,0.1284401856129704,2025-03-08,5,Medium,Active

366,JJ Bumrah,1740,bowler,0.2782760801331521,2025-03-01,12,High,Active

367,Shashank Singh,1540,batsman,0.2043404684444188,2025-03-08,5,High,Active

368,MK Lomror,1539,batsman,0.0979666181599371,2025-03-10,3,Low,Active

378,Gulbadin Naib,1535,batsman,0.025,2025-03-04,9,Low,Active

381,HV Patel,1534,bowler,0.273708832854635,2025-03-08,5,High,Active

382,RV Patel,1533,batsman,0.030210390946502,2024-12-12,91,Low,Active

383,Aman Hakim Khan,1533,batsman,0.071773691460055,2024-12-24,79,Low,Active

386,Abdul Samad,1532,batsman,0.0845913716064297,2025-03-12,1,Low,Active

388,Arshdeep Singh,1532,bowler,0.2336466163765759,2025-03-08,5,High,Active

391,Lalit Yadav,1532,all-rounder,0.1137658660387232,2025-02-04,37,Medium,Active

392,KA Maharaj,1532,bowler,0.2458333333333333,2025-01-27,45,High,Active

393,WD Parnell,1532,bowler,0.2504740126586943,2024-12-27,76,High,Active

396,V Viyaskanth,1531,bowler,0.1115999999999999,2025-03-09,4,Low,Active

404,Mohammad Nabi,1530,bowler,0.1851583491739742,2025-02-17,24,Medium,Active

414,DA Warner,1528,batsman,0.2725568769512654,2025-03-03,10,High,Active

416,MW Short,1527,batsman,0.1196479076479076,2024-12-03,100,Medium,Active

420,PP Chawla,1527,bowler,0.2182709018214812,2025-03-06,7,High,Active

426,G Coetzee,1526,bowler,0.2109628205128205,2025-02-20,21,High,Active

429,Subhransu Senapati,1525,unknown,0.1,2024-12-28,75,Low,Active

430,MD Shanaka,1524,batsman,0.0551904761904762,2024-12-28,75,Low,Active

431,Sumit Kumar,1524,all-rounder,0.04425,2025-02-12,29,Low,Active

433,KS Sharma,1524,batsman,0.0,2024-12-25,78,Low,Active

435,RG Sharma,1643,batsman,0.1838980942660165,2025-03-06,7,Medium,Active

436,AJ Turner,1523,batsman,0.0012142857142857,2025-02-23,18,Low,Active

445,Anuj Rawat,1521,batsman,0.1170449488094577,2025-01-30,42,Medium,Active

446,TH David,1521,batsman,0.1820415711452102,2025-03-01,12,Medium,Active

447,Azmatullah Omarzai,1521,bowler,0.1095488721804511,2025-02-14,27,Low,Active

463,Arshad Khan,1516,all-rounder,0.1297917833800186,2025-03-06,7,Medium,Active

464,D Ferreira,1516,batsman,0.0375,2025-03-10,3,Low,Active

467,Tanush Kotian,1516,batsman,0.05,2025-01-27,45,Low,Active

469,SS Prabhudessai,1516,batsman,0.0844938271604938,2025-02-05,36,Low,Active

477,Kartik Tyagi,1514,bowler,0.1430924108458591,2025-02-28,13,Medium,Active

480,C Sakariya,1513,bowler,0.2205610966548018,2024-12-24,79,High,Active

482,KM Asif,1513,bowler,0.1858216970998925,2024-12-17,86,Medium,Active

488,JE Root,1512,all-rounder,0.065,2024-12-17,86,Low,Active

490,Arjun Tendulkar,1512,bowler,0.1759487179487179,2025-03-06,7,Medium,Active

495,S Sandeep Warrier,1511,bowler,0.1633771929824561,2025-02-28,13,Medium,Active

498,R Shepherd,1510,all-rounder,0.10628,2025-03-06,7,Low,Active

499,Mukesh Choudhary,1509,bowler,0.2159741019214703,2025-01-18,54,High,Active

500,Sanvir Singh,1509,batsman,0.0460925925925925,2025-03-09,4,Low,Active

501,SH Johnson,1509,bowler,0.1352666666666666,2025-02-01,40,Medium,Active

504,K Yadav,1509,bowler,0.1388888888888889,2024-12-09,94,Medium,Active

509,HC Brook,1508,batsman,0.0981339005821764,2024-12-26,77,Low,Active

512,RR Rossouw,1508,batsman,0.1658511193598718,2025-03-08,5,Medium,Active

514,M Ashwin,1507,bowler,0.1748431838629207,2024-12-09,94,Medium,Active

520,GD Phillips,1506,all-rounder,0.0670555555555555,2024-12-26,77,Low,Active

522,Tanay Thyagarajan,1506,unknown,0.1,2025-01-11,61,Low,Active

523,AA Kulkarni,1506,batsman,0.0,2025-02-23,18,Low,Active

526,YV Dhull,1505,batsman,0.03,2024-12-24,79,Low,Active

527,LB Williams,1505,bowler,0.10025,2025-02-16,25,Low,Active

534,A Kamboj,1502,bowler,0.1664561403508772,2025-03-06,7,Medium,Active

541,Harpreet Singh,1500,batsman,0.0619836309523809,2025-02-06,35,Low,Active

542,Vivrant Sharma,1499,all-rounder,0.1526679748822606,2024-12-26,77,Medium,Active

547,SB Dubey,1499,batsman,0.0201481481481481,2025-03-02,11,Low,Active

548,Anmolpreet Singh,1499,batsman,0.0820531358024691,2025-02-19,22,Low,Active

550,RJ Gleeson,1498,bowler,0.102,2025-02-22,19,Low,Active

551,T Kohler-Cadmore,1498,batsman,0.0166666666666666,2025-03-11,2,Low,Active

557,Yudhvir Singh,1496,bowler,0.1408187134502924,2025-03-04,9,Medium,Active

558,P Dubey,1496,all-rounder,0.062826923076923,2024-12-16,87,Low,Active

566,M Shahrukh Khan,1493,batsman,0.1051424945626983,2025-02-28,13,Low,Active

576,Arshad Khan (2),1492,bowler,0.0,2025-01-28,44,Low,Active

580,S Joseph,1492,bowler,0.0,2025-01-28,44,Low,Active

582,BR Sharath,1492,batsman,0.05,2025-01-21,51,Low,Active

590,MJ Suthar,1491,bowler,0.0,2025-02-21,20,Low,Active

603,R Goyal,1489,bowler,0.0666666666666666,2024-12-06,97,Low,Active

605,Shivam Singh,1489,batsman,0.1075555555555555,2025-03-08,5,Low,Active

610,DG Nalkande,1488,bowler,0.1816239316239316,2025-01-21,51,Medium,Active

613,H Sharma,1488,bowler,0.0,2025-01-19,53,Low,Active

621,JM Sharma,1486,batsman,0.1142938538056979,2025-03-08,5,Medium,Active
639,SK Ahmed,1485,bowler,0.1457768833539839,2025-03-04,9,High,Active

640,JA Richardson,1482,bowler,0.1277777777777777,2025-01-20,52,Medium,Active

641,V Kaverappa,1482,bowler,0.3,2025-02-27,14,High,Active

645,Tilak Varma,1482,batsman,0.2505186651991991,2025-03-01,12,High,Active

646,SZ Mulani,1481,bowler,0.0241842105263157,2025-01-08,64,Low,Active

654,KT Maphaka,1478,bowler,0.075,2025-01-14,58,Low,Active

657,MR Marsh,1477,all-rounder,0.1531330786829259,2025-01-16,56,Medium,Active

660,L Wood,1477,bowler,0.0851249999999999,2025-02-12,29,Low,Active

661,LS Livingstone,1477,all-rounder,0.146603582689294,2025-02-27,14,Medium,Active

663,Saurav Chauhan,1476,batsman,0.0,2025-01-30,42,Low,Active

667,Kumar Kushagra,1474,batsman,0.0166666666666666,2025-03-03,10,Low,Active

669,Ashutosh Sharma,1474,batsman,0.197949157523511,2025-03-08,5,High,Active

677,RJW Topley,1470,bowler,0.1904333333333333,2025-01-30,42,Medium,Active

680,RK Bhui,1469,batsman,0.0,2025-01-09,63,Low,Active

681,KM Jadhav,1468,batsman,0.1031625041643168,2024-12-11,92,Low,Active

682,N Wadhera,1468,batsman,0.1458598943755168,2025-03-06,7,Medium,Active

695,MA Agarwal,1461,batsman,0.1326358675391244,2025-02-24,17,Medium,Active

711,Mayank Dagar,1447,bowler,0.0955269607843137,2025-01-19,53,Low,Active

715,Atharva Taide,1439,batsman,0.1899824640316458,2025-03-08,5,Medium,Active

719,Fazalhaq Farooqi,1436,bowler,0.1787193260930103,2024-12-19,84,Medium,Active

721,N Thushara,1431,bowler,0.2076923076923077,2025-03-06,7,High,Active

729,D Brevis,1423,batsman,0.1509983306751728,2025-03-06,7,Medium,Active

732,Naman Dhir,1421,batsman,0.1585681286549707,2025-03-06,7,Medium,Active

